"nome_congresso","sigla_congresso","estrato_qualis"
"BPM - International Conference on Business Process Management","BPM","A2"
"BPMDS - International Conference BPMDS/EMMSAD","BPMDS","B2"
"BPMS2 - Workshop on Social and Human Aspects of Business Process Management","BPMS2","B4"
"BRACIS - Brazilian Conference on Intelligent System","BRACIS","B2"
"BrasNAM - Brazilian Workshop on Social Network Analysis and Mining","BRASNAM","B5"
"BRC - ISSNIP Biosignals and Biorobotics Conference","BRC","B4"
"BRESCI - Brazilian e-Science Workshop","BRESCI","B4"
"BSB - Brazilian Symposium on Bioinformatics","BSB","B3"
"BTAS - IEEE International Conference on Biometrics: Theory, Applications, and Systems","BTAS","A2"
"BWILD - International Workshop on Biometrics in the Wild","BWILD","B4"
"BeyondMR - Workshop on Algorithms and Systems for MapReduce and Beyond","BeyondMR","B4"
"BigSpatial - ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data","BigSpatial","B4"
"BioCOMP - International Conference on Bioinformatics & Computational Biology","BioCOMP-WC","B5"
"C4BIE - International Workshop on Cloud for Business, Industry and Enterprises","C4BIE","B5"
"CAAD - Computer-Aided Architectural Design Futures Conference","CAAD","B5"
"CAD - International CAD Conference","CAD","B5"
"CADE - International Conference on Automated Deduction","CADE","A2"
"CAD/Graphics - International Conference on Computer-Aided Design and Computer Graphics","CADGRAPHICS","B3"
"CAIP - International Conference on Computer Analysis of Images and Patterns","CAIP","B1"
"CAISE - International Conference on Advanced Information Systems Engineering","CAISE","A2"
"CALDAM - International Conference on Algorithms and Discrete Applied Mathematics","CALDAM","B3"
"CANDAR - International Symposium on Computing and Networking","CANDAR","B2"
"CANS - International Conference on Cryptology and Network Security","CANS","B1"
"CARE - Workshop on Collaborative Agents Research and Development","CARE","B5"
"CARLA - Latin American High-Performance Computing Conference","CARLA","B4"
"CASA - Conference on Computer Animation and Social Agents","CASA","B3"
"CASCON - Annual International Conference on Computer Science and Software Engineering","CASCON","B1"
"CASE - IEEE Conference on Automation Science and Engineering","CASE","B1"
"CASES - International Conference on Compilers, Architecture, and Synthesis for Embedded Systems","CASES","B1"
"CASoN - International Conferennce on Computational Aspects of Social Networks","CASON","B1"
"CBI - IEEE Conference on Business Informatics","CBI","B1"
"CBMI - International Workshop on Content-Based Multimedia Indexing","CBMI","B1"
"CBMS - International Symposium on Computer-Based Medical Systems","CBMS","B1"
"CBSE - International ACM Sigsoft Symposium on Component-Based Software Engineering","CBSE","B1"
"CBSF - Congresso Brasileiro de Sistemas Fuzzy","CBSF","B4"
"CC - International Conference on Compiler Construction","CC","B2"
"CCCG - Canadian Conference on Computational Geometry","CCCG","B1"
"CCECE - Canadian Conference on Electrical and Computer Engineering","CCECE","B1"
"CCGrid - IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing","CCGRID","A1"
"CCNC - Annual IEEE Consumer Communications & Networking Conference","CCNC","B2"
"CCS/ASIACCS - ACM Symposium on Information, Computer and Communications Security","CCS","A1"
"CDC - IEEE Conference on Decision and Control","CDC","B1"
"CDVE - International Conference on Cooperative Design, Visualization, and Engineering","CDVE","B3"
"CEC - IEEE Congress on Evolutionary Computation","CEC","A1"
"CEDEM - International Conference for E-Democracy and Open Government","CEDEM","B3"
"CENTERIS - Conference on ENTERprise Information Systems","CENTERIS","B3"
"CF - ACM International Conference on Computing Frontiers","CF","B1"
"CGC - International Conference on Cloud and Green Computing","CGC","B1"
"CGI - Computer Graphics International Conference","CGI","B2"
"CGIM - International Conference on Computer Graphics and Imaging","CGIM","B5"
"CGO - International Symposium on Code Generation and Optimization","CGO","A2"
"CHASE - International Workshop on Cooperative and Human Aspects of Software Engineering","CHASE","B1"
"CHES - Conference on Cryptographic Hardware and Embedded Systems","CHES","A1"
"CHI - ACM Conference on Human Factors in Computing Systems","CHI","A1"
"CIARP - Iberoamerican Congress on Pattern Recognition","CIARP","B1"
"CIBCB - IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology","CIBCB","B2"
"CICC - IEEE Custom Integrated Circuits Conference","CICC","A2"
"CICLing - International Conference on Intelligent Text Processing and Computational Linguistics","CICLING","A2"
"CICOMMS - Symposium on Computational Intelligence for Communication Systems and Networks","CICOMMS","B3"
"CICS - Symposium on Computational Intelligence in Cyber Security","CICS","B3"
"CIDM - Symposium on Computational Intelligence and Data Mining","CIDM","B1"
"CIG - IEEE Conference on Computational Intelligence and Games","CIG","A2"
"CIKM - ACM International Conference on Information and Knowledge Management","CIKM","A1"
"CIMSIVP - IEEE Symposium on Computational Intelligence for Multimedia, Signal and Vision Processing","CIMSIVP","B4"
"CISIS - International Conference on Complex, Intelligent, and Software Intensive Systems","CISIS","B1"
"CISRC - Cyber Security and Information Intelligence Research Workshop","CISRC","B2"
"CIT - IEEE International Conference on Computer and Information Technology","CIT","B1"
"CIT/IUCC/DASC/PICOM - CIT, IUCC, DASC, PICOM","CIT/IUCC/DASC/PICOM","B4"
"CITS - International Conference on Computer, Information, and Telecommunication Systems","CITS","B2"
"CIVTS - IEEE Symposium on Computational Intelligence in Vehicles and Transportation Systems","CIVTS","B4"
"CL4LC - Workshop on Computational Linguistics for Linguistic Complexity","CL4LC","B4"
"CLAIO - Latin-Ibero-American Conference on Operations Research","CLAIO","B5"
"CLEF - Conference and Labs of the Evaluation Forum","CLEF","B2"
"CLEI - Conferencia Latinoamericana de Informática","CLEI","B3"
"CLIHC - Latin American Conference on Human Computer Interaction","CLIHC","B4"
"CLOSER - International Conference on Cloud Computing and Services Science","CLOSER","A2"
"IARIA - International Conference on Cloud Computing, GRIDs, and Virtualization","CLOUDCOMPUTING","B5"
"CLOUDTECH - International Conference on Cloud Computing Technologies and Applications","CLOUDTECH","B4"
"CLUSTER - IEEE International Conference on Cluster Computing","CLUSTER","A2"
"CMC - International Conference on Concept Mapping","CMC","B5"
"CMSB - International Conference on Computational Methods in Systems Biology","CMSB","B1"
"CNSM - International Conference on Network and Service Management","CNSM","A2"
"COCOA - International Conference on Combinatorial Optimization and Applications","COCOA","B2"
"COCOON - International Computing and Combinatorics Conference","COCOON","B1"
"CODES+ISSS - International Conference on Hardware/Software Codesign and System Synthesis","CODES+ISSS","A2"
"COGNISE - International Workshop on Cognitive Aspects of Information Systems Engineering","COGNISE","B4"
"COGNITIVE - IARIA International Conference on Advanced Cognitive Technologies and Applications","COGNITIVE-IARIA","B5"
"COGSCI - Annual Meeting of the Cognitive Science Society","COGSCI","B2"
"COIN - International Workshop on Coordination, Organisations, Institutions and Norms","COIN","B4"
"COLING - International Conference on Computational Linguistics","COLING","A2"
"COLOGNETWENTE - Cologne-Twente Workshop on Graphs and Combinatorial Optimization","COLOGNETWENTE","B3"
"COMMA - International Conference on Computational Models of Argument","COMMA","B1"
