"nome_congresso","sigla_congresso","estrato_qualis"
"GECON - International Conference on Economics of Grids, Clouds, Systems and Services","GECON","B2"
"GeoInfo - Brazilian Symposium on GeoInformatics","GEOINFO","B3"
"GI - Graphics Interface Conference","GI","B1"
"GIIS - Global Information Infrastructure and Networking Symposium","GIIS","B2"
"SIGSPATIAL/GIS - ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems","GIS","A1"
"GLOBALDEV - Workshop of the AIS Special Interest Group for ICT in Global Development","GLOBALDEV","B5"
"GlobalSIP - Global Conference on Signal and Information Processing","GLOBALSIP","B1"
"GLOBECOM - IEEE Global Communications Conference","GLOBECOM","A1"
"GLSVLSI - ACM Great Lakes Symposium on VLSI","GLVLSI","B1"
"GPC - International Conference on Grid And Pervasive Computing","GPC","B2"
"GPCE - ACM International Conference on Generative Programming: Concepts and Experiences","GPCE","B2"
"GRAPP - International Conference on Computer Graphics Theory and Applications","GRAPP","B1"
"GREC - International Workshop on Graphic Recognition: Current Trends and Challenges","GREC","B2"
"GREENS - International Workshop on Green and Sustainable Software","GREENS","B4"
"GROUP - International Conference on Supporting Group Work","GROUP","B2"
"GT-VMT - International Workshop on Graph Transformation and Visual Modeling Techniques","GTVMT","B4"
"GeoProcessing - IARIA International Conference on Advanced Geographic Information Systems, Applications, and Services","GeoPROCESSING-IARIA","B5"
"ICRA - IEEE International Conference on Robotics and Automation","ICRA","A1"
"GeoPrivacy - Workshop on Privacy in Geographic Information Collection and Analysis","GeoPrivacy","B4"
"GraphQ - International Workshop on Querying Graph Structured Data (EDBT)","GraphQ","B4"
"GreenCom - IEEE International Conference on Green Computing and Communications","GreenCom","B2"
"HAI - International Workshop on Human Aspects in Ambient Intelligence","HAI","B4"
"HAIS - International Conference on Hybrid Artificial Intelligence Systems","HAIS","B1"
"HASE - IEEE International Symposium on High Assurance Systems Engineering","HASE","B1"
"HCI - International Conference on Human-Computer Interaction","HCI","B2"
"HCI3P - Workshop on Human Computer Interaction in Third Places","HCI3P","B4"
"HCIST - International Conference on Health and Social Care Information Systems and Technologies","HCIST","B3"
"Hcomp - Conference on Human Computation and Crowdsourcing","HCOMP","B1"
"HCSE - International Working Conference on Human-Centred Software Engineering","HCSE","B3"
"HealthCom - IEEE International Conference on E-health Networking, Application & Services","HEALTHCOM","B2"
"HEALTHINF - International Conference on Health Informatics","HEALTHINF","B5"
"HICSS - Hawaii International Conference on System Sciences","HICSS","A1"
"HIMI - Human Interface and the Management of Information Thematic Area","HIMI-HCI","B2"
"HiPC - IEEE International Conference on High Performance Computing","HIPC","B1"
"HIS - International Conference on Hybrid Intelligent Systems","HIS","B2"
"HLT - International Conference Baltic Human Language Technology","HLT","A1"
"HM - International Workshop on Hybrid Metaheuristics","HM","B2"
"HOST - IEEE International Symposium on Hardware Oriented Security and Trust","HOST","B1"
"HotNets - ACM Workshop on Hot Topics in Networks","HOTNETS","A1"
"HPCA - IEEE International Symposium on High Performance Computer Architecture","HPCA","A1"
"HPCB - International Workshop on High Performance Computing on Bioinformatics","HPCB","B4"
"HPCC - International Conference on High Performance Computing and Communications","HPCC","A2"
"HPCS - International Conference on High Performance Computing & Simulation","HPCS","B1"
"HPDC - International Symposium on High Performance Distributed Computing","HPDC","A1"
"HPG - High-Performance Graphics","HPG","B5"
"HPPN - Workshop on High Performance and Programmable Networking","HPPN","B5"
"HR - Workshop on Hybrid Reasoning","HR","B4"
"HT - ACM Conference on Hypertext and Social Media","HT","A2"
"HUMANCOM - International Conference on Human-centric Ubiquitous Computing and Applications","HUMANCOM","B5"
"HVC - International Haifa Verification Conference","HVC","B1"
"I2MTC - IEEE International Instrumentation and Measurement Technology Conference","I2MTC","A2"
"I3D - ACM Symposium on Interactive 3D Graphics and Games","I3D","A2"
"IAS - Industry Applications Society Annual Meeting","IAS","B2"
"IAT - IEEE/WIC/ACM International Conference on Intelligent Agent Technology","IAT","B1"
"IBERAMIA - Ibero-American Conference on Artificial Intelligence","IBERAMIA","B2"
"IC3K - International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management","IC3K","B4"
"ICA3PP - International Conference on Algorithms and Architectures for Parallel Processing","ICA3PP","B1"
"ICAART - International Conference on Agents and Artificial Intelligence","ICAART","B1"
"ICAIS - International Conference on Adaptive and Intelligent Systems","ICAIS","B3"
"ICAISC - International Conference on Artificial Intelligence and Soft Computing","ICAISC","A2"
"ICAI - International Conference on Artificial Intelligence","ICAIWC","B5"
"ICALT - IEEE International Conference on Advanced Learning Technologies","ICALT","B1"
"ICANN - International Conference on Artificial Neural Networks","ICANN","B1"
"ICAPS - International Conference on Automated Planning and Scheduling","ICAPS","A2"
"ICAR - International Conference on Advanced Robotics","ICAR","B1"
"ICARSC - IEEE International Conference on Autonomous Robot Systems and Competitions","ICARSC","B5"
"ICARCV - International Conference on Control, Automation, Robotics and Vision","ICARV","B1"
"ICAS - IARIA International Conference on Autonomic and Autonomous Systems","ICAS-IARIA","B5"
"ICASSP - IEEE International Conference on Acoustics, Speech and Signal Processing","ICASSP","A1"
"ICAT - International Conference on Artificial Reality and Telexistence","ICAT","B2"
"ICB - International Conference on Biometrics","ICB","A2"
"ICC - IEEE International Conference on Communications","ICC","A1"
"ICCA - IEEE International Conference on Control and Automation","ICCA","B1"
"ICCAD - IEEE/ACM International Conference on ComputerAided Design","ICCAD","A1"
"ICCCC - International Conference on Computers Communications and Control","ICCCC","B4"
"ICCCN - International Conference on Computer Communications and Networks","ICCCN","A2"
"ICCD - International Conference on Computer Design","ICCD","A2"
"ICCDCS - International Caribbean Conference on Devices, Circuits and Systems","ICCDCS","B5"
"ICCE - IEEE International Conference on Consumer Electronics","ICCE","B2"
"ICCEBerlin - IEEE International Conference on Consumer Electronics Berlin","ICCEBerlin","B3"
"ICCETW - IEEE International Conference on Consumer Electronics Taiwan","ICCETaiwan","B5"
"ICCIC - International Conference on Computational Intelligence and Computing Research","ICCIC","B2"
"ICCL - International Conference on Computational Logistics","ICCL2","B2"
"ICNC - International Conference on Computing, Networking and Communications","ICCNC","A2"
"ICCP - IEEE International Conference on Intelligent Computer Communication and Processing","ICCP","B1"
"ICCPS - International Conference on Cyber-Physical Systems","ICCPS","B2"
"ICCRTS - International Command and Control Research and Technology Symposium","ICCRTS","B5"
"ICCS - International Conference on Computational Science","ICCS","A1"
"ICCSA - International Conference on Computational Science and Its Applications","ICCSA","B1"
"ICCVE - International Conference on Connected Vehicles & Exp","ICCVE","B4"
"ICCW - IEEE International Conference on Communications Workshops","ICCW","B4"
"ICDAR - International Conference on Document Analysis and Recognition","ICDAR","A1"
"ICDCS - International Conference on Distributed Computing Systems","ICDCS","A1"
"ICDE - IEEE International Conference on Data Engineering","ICDE","A1"
"KEYS - International Workshop on Keyword Search and Data Exploration on Structured Data","ICDEW","B4"
"ICDIM - International Conference on Digital Information Management","ICDIM","B2"
"ICDM - IEEE International Conference on Data Mining","ICDM","A1"
"ICDP - International Conference on Imaging for Crime Detection and Prevention","ICDP","B5"
"ICDS - IARIA International Conference on Digital Society","ICDS-IARIA","B5"
"DSP - IEEE International Conference on Digital Signal Processing","ICDSP","B1"
"ICEBE - IEEE International Conference on e-Business Engineering","ICEBE","B1"
"ICEC - IFIP International Conference on Entertainment Computing","ICEC","B1"
"ICECCS - International Conference on Engineering of Complex Computer","ICECCS","B1"
"ICECS - IEEE International Conference on Electronics, Circuits and Systems","ICECS","B1"
"ICED - International Conference on Engineering Design","ICED","B5"
"ICEGOV - International Conference on Theory and Practice of Eletronic Governance","ICEGOV","B2"
"ICEIS - International Conference on Enterprise Information Systems","ICEIS","B2"
"ICERI - International Conference of Education, Research and Innovation","ICERI","B4"
"ICFEM - International Conference on Formal Engineering Methods","ICFEM","B1"
"ICFHR - International Conference on Frontiers in Handwriting Recognition","ICFHR","B1"
"ICGSE - IEEE International Conference on Global Software Engineering","ICGSE","B1"
"ICGSEW - IEEE International Conference on Global Software Engineering Wokshops","ICGSEW","B4"
"ICGT - International Conference on Graph Transformation","ICGTT","B2"
"ICHQP - IEEE International Conference on Harmonics and Power Quality","ICHQP","B4"
"ICIAP - International Conference on Image Analysis and Processing","ICIAP","B1"
"ICIAR - International Conference on Image Analysis and Recognition","ICIAR","B1"
"ICIC - International Conference on Intelligent Computing","ICIC","B1"
"ICIEOM - International Conference on Industrial Engineering and Operations Management","ICIEOM","B5"
"ICINCO - International Conference on Informatics in Control, Automation and Robotics","ICINCO","B2"
"ICIP - IEEE International Conference on Image Processing","ICIP","A1"
"ICIQ - International Conference on Information Quality","ICIQ","B5"
"ICIS - International Conference on Information Systems","ICIS","A1"
"ICISO - International Conference on Informatics and Semiotics in Organisations","ICISO","B2"
"ICISS - International Conference on Information Systems Security","ICISS","B1"
"ICIST - International Conference on Information and Software Technologies","ICIST","B3"
"ICIT - IEEE International Conference on Industrial Technology","ICIT","B3"
"ICITS - International Conference on Information Theoretic Security","ICITS","B2"
"ICITST - International Conference for Internet Technology and Secured Transactions","ICITST","B1"
"ICIW - IARIA International Conference on Internet and Web Applications and Services","ICIW-IARIA","B5"
"ICLA - Indian Conference on Logic and its Applications","ICLA","B3"
"ICLP - International Conference on Logic Programming","ICLP","B1"
"ICM - International Conference on Microelectronics","ICM","B1"
"ICMC - International Computer Music Conference","ICMC","B1"
"ICME - IEEE International Conference on Multimedia and Expo","ICME","A2"
"ICML - International Conference on Machine Learning","ICML","A1"
"ICMLA - IEEE International Conference on Machine Learning and Applications","ICMLA","B1"
"ICMR - ACM International Conference on Multimedia Retrieval","ICMR","A1"
"ICN - ACM International Conference on Information-Centric Networking","ICN","A1"
"ICN - IARIA International Conference on Networks","ICN-IARIA","B5"
"ICNC - IInternational Conference on Natural Computation","ICNC","B1"
"ICNS - IARIA International Conference on Networking and Services","ICNS-IARIA","B5"
"ICNSC - IEEE International Conference on Networking, Sensing and Control","ICNSC","B1"
"ICOIN - International Conference on Information Networking","ICOIN","B1"
"ICOMP - International Conference on Internet Computing and Internet of Things","ICOMPWC","B5"
"ICONIP - International Conference on Neural Information Processing","ICONIP","B1"
"ICONS - IARIA International Conference on Systems","ICONS-IARIA","B5"
"ICORES - International Conference on Operations Research and Enterprise Systems","ICORES","B4"
"ICPADS - International Conference on Parallel and Distributed Systems","ICPADS","A2"
"ICPC - International Conference on Program Comprehension","ICPC","A2"
"ICPE - International Conference on Performance Engineering","ICPE","A2"
"ICPP - International Conference on Parallel Processing","ICPP","A1"
"ICPR - International Conference on Pattern Recognition","ICPR","A2"
"ICSC - International Conference on Semantic Computing","ICSC","B1"
"ICSE - International Conference on Software Engineering","ICSE","A1"
"ICSEA - IARIA International Conference on Software Engineering Advances","ICSEA-IARIA","B5"
"ICSEW - International Conference on Software Engineering Workshops","ICSEW","B4"
"ICSI - International Conference on Swarm Intelligence","ICSI","B1"
"ICSME - IEEE International Conference on Software Maintenance and Evolution","ICSM","A1"
"ICSNC - IARIA International Conference on Systems and Networks Communications","ICSNC-IARIA","B5"
"ICSOB - International Conference on Software Business","ICSOB","B1"
"ICSOC - International Conference on Service Oriented Computing","ICSOC","A2"
"ICSOFT - International Conference on Software and Data Technologies","ICSOFT","B1"
"ICSR - International Conference on Software Reuse","ICSR","B2"
"ICST - International Conference on Sensing Technology","ICST","B1"
"ICST - IEEE International Conference on Software Testing, Verification and Validation","ICSTV","A2"
"ICT - International Conference on Telecommunications","ICT","B1"
"ICTAC - International Colloquium on Theoretical Aspects of Computing","ICTAC","B2"
"ICTAI - IEEE International Conference on Tools with Artificial Intelligence","ICTAI","B1"
"ICTIR - Conference on the Theory of Information Retrieval","ICTIR","B2"
"ICTON - International Conference on Transparent Optical Networks","ICTON","B3"
"ICTSS - IFIP International Conference on Testing Software and Systems","ICTSS","B2"
"ICUAS - International Conference on Unmanned Aircraft Systems","ICUAS","B3"
"ICUMT - International Conference on Ultra Modern Telecommunications","ICUMT","B3"
"ICVR - International Conference on Virtual Rehabilitation","ICVR","B2"
"ICVS - International Conference on Computer Vision Systems","ICVS","B1"
"ICWE - International Conference on Web Engineering","ICWE","B1"
"ICWMC - IARIA International Conference on Wireless and Mobile Communications","ICWMC-IARIA","B5"
"ICWN - International Conference on Wireless Networks","ICWNWC","B5"
"ICWS - IEEE International Conference on Web Services","ICWS","A2"
"ICWSM - International AAAI Conference on Weblogs and Social Media","ICWSM","A1"
"IDC - International Symposium on Intelligent Distributed Computing","IDC","B2"
"IDCS - International Conference on Internet and Distributed Computing Systems","IDCS","B3"
"IDEAL - International Conference on Intelligent Data Engineering and Automated Learning","IDEAL","B2"
"IDEAS - International Database Engineering and Applications Symposium","IDEAS","B2"
"IEA/AIE - International Conference on Industrial Engineering & Other Applications of Appled Intelligence Systems","IEAAIE","B3"
"IECON - Annual Conference of the IEEE Industrial Electronics Society","IECON","B1"
"IEEEANTS - IEEE International Conference on Advanced Networks and Telecommuncations Systems","IEEEANTS","B1"
"IEEEECLOUD - IEEE International Conference on Cloud Computing","IEEECLOUD","A1"
"IA - IEEE Symposium on Intelligent Agents","IEEEIA","B4"
"IEEENANO - International Conference on Nanotechnology","IEEENANO","B3"
"SCC - IEEE International Conference on Services Computing","IEEESCC","A2"
"iEMSs - International Congress on Environmental Modelling & Software","IEMSS","B5"
"IESS - IFIP International Embedded Systems Symposium","IESS","B3"
"IFAC - World Congress of the International Federation of Automatic Control","IFAC","B1"
"IFM - International Conference on Integrated Formal Methods","IFM","B2"
"IFSA - World Congress of International Fuzzy Systems Association","IFSA","B2"
"IFUZZY - International Conference on Fuzzy Theory and its Applications","IFUZZY","B3"
"IGARSS - IEEE International Geoscience and Remote Sensing Symposium","IGARSS","B2"
"IGIC - IEEE International Games Innovation Conference","IGIC","B2"
"IGSC - International Green and Sustainable Computing Conference","IGSC","A2"
"IHC - Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais","IHC","B2"
"IHM - Conférence Francophone sur l Interaction Homme-Machine","IHM","B3"
"IIR - Italian Information Retrieval Workshop","IIR","B3"
"IISWC - IEEE International Symposium on Workload Characterization","IISWC","A2"
"iiWAS - International Conference on Information Integration and Web-based Applications & Services","IIWAS","B1"
"IJCAI - International Joint Conference on Artificial Intelligence","IJCAI","A1"
"IJCAR - International Joint Conference on Automated Reasoning","IJCAR","B2"
"IJCCI - International Joint Conference on Computational Intelligence","IJCCI","B3"
"IJCNN - IEEE International Joint Conference on Neural Networks","IJCNN","A1"
"ILP - International Conference on Inductive Logic Programming","ILP","B2"
"IM - IFIP/IEEE International Symposium on Integrated Network Management","IM","A2"
"IMC - ACM Internet Measurement Conference","IMC","A1"
"IMIS - International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing","IMIS","A2"
"IMOC - SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference","IMOC","B4"
"IMR - International Meshing Roundtable and User Forum","IMR","B2"
"IMS3TW - Annual International Mixed-Signals, Sensors and Systems Test Workshop","IMS3TW","B3"
"INCOS - International Conference on Intelligent Networking and Collaborative Systems","INCOS","B1"
"INDIN - IEEE International Conference on Industrial Informatics","INDIN","B1"
"INDUSCON - International Conference on Industry Applications","INDUSCON","B4"
"INFOCOM - IEEE International Conference on Computer Communications","INFOCOM","A1"
"CNTCV - IEEE Workshop on Communication & Networking Techniques for Contemporary Video","INFOCOMW","B4"
"INNOV - IARIA International Conference on Communications, Computation, Networks and Technologies","INNOV-IARIA","B5"
"INOC - International Network Optimization Conference","INOC","B5"
"INTECH - International Conference on Innovative Computing Technology","INTECH","B3"
"INTELLI - IARIA International Conference on Intelligent Systems and Applications","INTELLI-IARIA","B5"
"INTELLISYS - SAI Intelligent Systems Conference","INTELLISYS","B5"
"INTERACCION - International Conference on Human Computer Interaction","INTERACCION","B5"
"INTERACT - IFIP TC 13 International Conference on Human-Computer Interaction","INTERACT","A2"
"INTERSPEECH - Conference of the International Speech Communication Association","INTERSPEECH","A1"
"IOLTS - IEEE International On-Line Testing Symposium","IOLTS","B1"
"IPAW - International Provenance and Annotation Workshop","IPAW","B2"
"IPCCC - International Performance, Computing, and Communications Conference","IPCCC","B1"
"IPCO - Conference on Integer Programming and Combinatorial Optimization","IPCO","B1"
"IPCV - International Conference on Image Processing, Computer Vision, and Pattern Recognition","IPCVWC","B5"
"IPDPS - IEEE International Parallel & Distributed Processing Symposium","IPDPS","A1"
"IPDPSW - IEEE International Parallel & Distributed Processing Symposium Workshops","IPDPSW","B4"
"IPMU - International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems","IPMU","B2"
"IPSN - International Conference on Information Processing in Sensor Networks","IPSN","A1"
"IRI - IEEE International Conference on Information Reuse and Integration","IRI","B1"
"IRMMW - International Conference on Infrared, Millimeter, and Terahertz Waves","IRMMW","B3"
"IROS - IEEE/RSJ International Conference on Intelligent Robots and Systems","IROS","A1"
"ISAAC - International Symposium Algorithms and Computation","ISAAC","B1"
"ISAP - International Conference on Intelligent System Applications to Power Systems","ISAP","B4"
"ISAmI - International Symposium on Ambient Intelligence","ISAmI","B2"
"ISBI - IEEE International Symposium on Biomedical Imaging","ISBI","B2"
"ISBRA - International Symposium on Bioinformatics Research and Applications","ISBRA","B3"
"ISC2 - IEEE International Smart Cities Conference","ISC2","B3"
"ISCA - International Symposium on Computer Architecture","ISCA","A1"
"ISCAS - IEEE International Symposium on Circuits and Systems","ISCAS","A1"
"ISCAW - Image-Based Smart City Application Workshop","ISCAW","B5"
"ISCC - International Symposium on Computers and Communications","ISCC","A2"
"ISCE - IEEE International Symposium on Consumer Electronics","ISCE","B3"
"ISCIS - International Symposium on Computer and Information Sciences","ISCIS","B1"
"ISCO - International Symposium on Combinatorial Optimization","ISCOPT","B3"
"ISCRAM - International Conference on Information Systems for Crisis Response and Management","ISCRAM","B4"
"ISDA - International Conference on Intelligent Systems Design and Applications","ISDA","B1"
"ISD - International Conference on Information Systems Development","ISDEVEL","B3"
"ISEOLE - International Workshop on Intelligent Support in Exploratory and Open-Ended Learning Environments","ISEOLE","B4"
"ISER - International Symposium on Experimental Robotics","ISER","B3"
"IS-EUD - International Symposium on End-User Development","ISEUD","B1"
"ISGT-Europe - IEEE International Conference on Innovative Smart Grid Technologies","ISGTEUROPE","B2"
"ISI - IEEE International Conference on Intelligence and Security Informatics","ISI","B1"
"ISIC - International Symposium on Integrated Circuits","ISIC","B2"
"ISIE - IEEE International Symposium on Industrial Electronics","ISIE","B2"
"ISIT - International Symposium on Information Theory","ISIT","A1"
"ISLPED - International Symposium on Low Power Electronics and Design","ISLPED","A2"
"ISM - IEEE International Symposium on Multimedia","ISM","B1"
"ISMAR - International Symposium on Mixed and Augmented Reality","ISMAR","A2"
"ISMIR - International Society for Music Information Retrieval Conference","ISMIR","A1"
"ISMIS - International Symposium on Methodologies for Intelligent Systems","ISMIS","B1"
"ISMM - International Symposium on Mathematical Morphology","ISMM","B1"
"ISNN - International Symposium on Neural Networks","ISNN","B1"
"ISOLA - International Symposium on Leveraging Applications of Formal Methods, Verification and Validation","ISOLA","B1"
"ISORC - IEEE International Symposium on RealTime Distributed Computing","ISORC","B1"
"ISPASS - IEEE International Symposium on Performance Analysis of Systems and Software","ISPASS","A2"
"ISPD - ACM International Symposium on Physical Design","ISPD","B1"
"ISPDC - International Symposium on Parallel and Distributed Computing","ISPDC","B1"
"ISQED - International Symposium on Quality Electronic Design","ISQED","B1"
"ISSI - International Society of Scientometrics and Informetrics Conference","ISSI","B3"
"ISSPIT - IEEE International Symposium on Signal Processing and Information Technology","ISSPIT","B2"
"ISSRE - IEEE International Symposium on Software Reliability Engineering","ISSRE","A2"
"ISSREW - IEEE International Symposium on Software Reliability Engineering Workshops","ISSREW","B4"
"ISSTA - International Symposium on Software Testing and Analysis","ISSTA","A1"
"iStar - International i*Workshop","ISTAR","B3"
"ISVC - International Symposium on Visual Computing","ISVC","B1"
"ISVLSI - IEEE Computer Society Annual Symposium on VLSI","ISVLSI","B1"
"ISWC - International Semantic Web Conference","ISWC","A1"
"ISWCS - International Symposium on Wireless Communication Systems","ISWCS","A2"
"IESD - Intenational Workshop on Intelligent Exploration of Semantic Data","ISWCW","B4"
"ISWPC - International Symposium on Wireless and Pervasive Computing","ISWPC","B5"
"ITA - International Conference on Internet Technologies and Applications","ITA","B4"
"ITC - International Test Conference","ITC","B1"
"ITHET - International Conference on Information Technology Based Higher Education and Training","ITHET","B2"
"ITiCSE - Conference on Innovation and Technology in Computer Science Education","ITICSE","A2"
"ITNG - International Conference on Information Technology : New Generations","ITNG","B1"
"ITS - International Conference on Intelligent Tutoring Systems","ITS","B1"
"ITSC - IEEE International Conference on Intelligent Transportation Systems","ITSC","B2"
"IUI - International Conference on Intelligent User Interfaces","IUI","A2"
"IV - International Conference on Information Visualization","IV","B1"
"IVA - International Conference on Intelligent Virtual Agents","IVA","B1"
"IVAPP - International Conference on Information Visualization Theory and Applications","IVAPP","B1"
"IVS - Intelligent Vehicles Symposium","IVS","B1"
"IWANN - International Work-Conference on Artificial and Natural Neural Networks","IWANN","B1"
"IWBBIO - International Work-Conference on Bioinformatics and Biomedical Engineering","IWBBIO","B2"
"IWBF - International Workshop on Biometrics and Forensics","IWBF","B3"
"IWC - International Workshop on Confluence","IWC","B5"
"IWCMC - International Wireless Communications and Mobile Computing Conference","IWCMC","A2"
"IWEI - International IFIP Working Conference on Enterprise Interoperability","IWEI","B3"
"IWOCA - International Workshop on Combinatorial Algorithms","IWOCA","B2"
"IWPSE - International Workshop on Principles of Software Evolution","IWPSE","B4"
"IWS - Iberchip Workshop","IWS","B5"
"IWSC - International Workshop on Smart Cities: People, Technology and Data","IWSC","B4"
"IWSECO - International Workshop on Software Ecosystems","IWSECO","B4"
"IWSG - International Workshop on Science Gateways","IWSG","B5"
"Mensura - International Conference on Measurement and Data Analytics","IWSM","B2"
"IWSSIP - International Conference on Systems, Signals and Image Processing","IWSSIP","B1"
"IWT - International Workshop on Telecommunications","IWT","B3"
"IbPRIA - Iberian Conference on Pattern Recognition and Image Analysis","IbPRIA","B2"
"IoTAAL - Workshop on Internet of Things for Ambient Assisted Living","IoTAAL","B4"
"JCDL - ACM/IEEE Joint Conference on Digital Libraries","JCDL","A2"
"JCSSE - International Joint Conference on Computer Science and Software Engineering","JCSSE","B2"
"JURIX - International Conference on Legal Knowledge and Information Systems","JURIX","B2"
"KDD - ACM SIGKDD Conference on Knowledge Discovery and Data Mining","KDD","A1"
"KDMiLe - Symposium on Knowledge Discovery, Mining and Learning","KDMILE","B5"
"KES - International Conference on Knowledge-Based and Intelligent Information & Engineering Systems","KES","B1"
"KES-AMSTA - International KES Conference on Agents and Multi-Agent Systems: Technologies and Applications","KESAMSTA","B1"
"KESW - International Conference on Knowledge Engineering and Semantic Web","KESW","B2"
"KMO - International Conference on Knowledge Management in Organizations","KMO","B3"
"KR - International Conference on Principles of Knowledge Representation and Reasoning","KR","A2"
"KSBT - Workshop on Knowledge, Skill, and Behavior Transfer in Autonomous Robots","KSBT","B4"
"KnowLOD - Workshop on Knowledge Discovery and Data Mining Meets Linked Open Data","KnowLOD","B4"
"LA-CCI - Latin American Conference on Computational Intelligence","LA-CCI","B4"
"LA-WEB - Latin American Web Congress","LA-WEB","B3"
"LAC - Linux Audio Conference","LAC","B5"
"LACLO - Latin American Conference on Learning Objects and Technologies","LACLO","B3"
"LADC - Latin-American Symposium on Dependable Computing","LADC","B3"
"LAFM - Latin American Workshop on Formal Methods","LAFM","B5"
"LAGOS - Latin-American Algorithms, Graphs and Optimization Symposium","LAGOS","B3"
"LAK - International Learning Analytics and Knowledge Conference","LAK","A1"
"LANC - Latin American Networking Conference","LANC","B3"
"LANCOMM - ACM SIGCOMM Workshop on Fostering Latin-American Research in Data Communication Networks","LANCOMM","B4"
"LANMAN - IEEE International Symposium on Local and Metropolitan Area Networks","LANMAM","B2"
"LANMR - Latin American Workshop on Logic/Languages, Algorithms and New Methods of Reasoning","LANMR","B5"
"LANOMS - Latin-American Network Operations and Management Symposium","LANOMS","B3"
"LARS - IEEE Latin American Robotics Symposium","LARS","B3"
"LASCAS - IEEE Latin American Symposium on Circuits and Systems","LASCAS","B2"
"LATIN - Latin American Symposium on Theoretical Informatics","LATIN","B1"
"LATINCLOUD - IEEE Latin America Conference on Cloud Computing and Communications","LATINCLOUD","B5"
"LATINCOM - IEEE Latin-American Conference on Communications","LATINCOM","B2"
"LATINCRYPT - International Conference on Cryptology and Information Security in Latin America","LATINCRYPT","B3"
"LATW - Latin American Test Workshop","LATW","B2"
"LAW - Linguistic Annotation Workshop","LAW","B3"
"LAWGC - Latin American Workshop on Cliques in Graphs","LAWCG","B5"
"LCDNET - Workshop on Lowest Cost Denominator Networking for Universal Access","LCDNET","B4"
"LCN - IEEE Conference on Local Computer Networks","LCN","B1"
"LCTES - ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Embedded Systems","LCTRTS","B2"
"LION - Learning and Intelligent Optimization Conference","LION","B1"
"LISS - International Conference on Logistics, Informatics and Services Sciences","LISS","B5"
"LPNMR - International Conference on Logic Programming and Non-monotonic Reasoning","LPNMR","B1"
"LRC - Workshop on Logical Reasoning and Computation","LRC","B5"
"LREC - International Conference on Language Resources and Evaluation","LREC","A1"
"LSFA - Workshop on Logical and Semantic Frameworks, with Applications","LSFA","B3"
"LightSec - International Workshop on Lightweight Cryptography for Security & Privacy","LightSec","B3"
"M4IOT - Workshop on Middleware for Context-Aware Applications in the IoT","M4IOT","B4"
"MABS - International Workshop on Multi-Agent Based Simulation","MABS","B4"
"ManSDN/NFV - International Workshop on Management of SDN and NFV Systems","MANSDNNFV","B4"
"MARMI - International Workshop on Multimedia Analysis and Retrieval for Multimodal Interaction","MARMI","B4"
"MASCOTS - International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems","MASCOTS","A2"
"MASLE - Workshop in Multiagent System Based Learning Environments","MASLE","B5"
"MASS - Mobility Analytics from Spatial and Social Data","MASS","B4"
"MATES - German Conference on Multiagent System Technologies","MATES","B2"
"MCDM - International Conference on Multiple Criteria Decision Making","MCDM","B5"
"MCPR - Mexican Conference on Pattern Recognition","MCPR2","B2"
"MCS - International Workshop on Multiple Classifier Systems Multiple Classifier Systems","MCS","B2"
"MDAI - International Conference on Modeling Decisions for Artificial Intelligence","MDAI","B2"
"MDM - IEEE International Conference on Mobile Data Management","MDM","A2"
"MDMW - IEEE International Conference on Mobile Data Management Workshops","MDMW","B4"
"MED - Mediterranean Conference on Control and Automation","MED","B3"
"MEDES - International Conference on Management of Emergent Digital EcoSystems","MEDES","B2"
"Med-Hoc-Net - Mediterranean Ad Hoc Networking Workshop","MEDHOCNET","B1"
"MEDIAN - Workshop On Manufacturable and Dependable Multicore Architectures at Nanoscale","MEDIAN","B5"
"MeMeA - IEEE International Symposium on Medical Measurements and Applications","MEMEA","B3"
"MIC - Metaheuristics International Conference","MIC","B5"
"MICAI - Mexican International Conference on Artificial Intelligence","MICAI","B1"
"MICCAI - International Conference on Medical Image Computing and Computer Assisted Intervention","MICCAI","A1"
"MIDDLEWARE - International Middleware Conference","MIDDLEWARE","A2"
"MIG - ACM Siggraph Conference on Motion in Games","MIG","B1"
"MIKON - International Conference on Microwave, Radar and Wireless Communications","MIKON","B5"
"MISE - Workshop on Modeling in Software Engineering","MISE","B4"
"MLDM - International Conference on Machine Learning and Data Mining in Pattern Recognition","MLDM","B1"
"MLSP - IEEE International Workshop on Machine Learning for Signal Processing","MLSP","B1"
"MMEDIA - International Conferences on Advances in Multimedia","MMEDIA-IARIA","B5"
"MMM - International Conference on Multimedia Modelling","MMM","B1"
"MMSP - International Workshop on Multimedia and Signal Processing","MMSP","B1"
"MMSys - ACM Multimedia Systems Conference","MMSYS","A2"
"MOBICOM - ACM/IEEE International Conference on Mobile Computing and Networking","MOBICOM","A1"
